problem,solver,cost,gradient_norm_l2,damping,iters,cumulative_inner_solve_time,eta,cameras,points,cumulative_inner_solve_flops,loss,cumulative_solve_time,cumulative_solve_flops,nodes
0,gamg,0.00429285,0.127966,0.0001,0,0,0.01,26389,29040,0,huber,0,0,32
1,gamg,9.49461e-06,0.000496818,3.33333e-05,10,0.997832,0.01,26389,29040,7.91784e+09,huber,1.39869,1.1498e+10,32
2,gamg,2.1331e-06,0.000142674,4.41153e-05,43,2.03725,0.01,26389,29040,2.48109e+10,huber,2.53084,3.19712e+10,32
3,gamg,1.32771e-06,3.3732e-05,6.60462e-05,45,3.07497,0.01,26389,29040,4.2248e+10,huber,3.65809,5.29883e+10,32
4,gamg,1.06494e-06,1.16569e-05,9.79816e-05,39,4.0806,0.01,26389,29040,5.80532e+10,huber,4.75312,7.23736e+10,32
5,gamg,9.41681e-07,4.95257e-06,0.000143915,34,5.06354,0.01,26389,29040,7.24985e+10,huber,5.82541,9.0399e+10,32
6,gamg,8.73938e-07,2.96372e-06,0.000211256,29,6.0134,0.01,26389,29040,8.55839e+10,huber,6.86469,1.07065e+11,32
7,gamg,8.33589e-07,2.34884e-06,0.000308918,25,6.9604,0.01,26389,29040,9.75814e+10,huber,7.9011,1.22642e+11,32
8,gamg,8.08301e-07,2.1775e-06,0.000451556,21,7.89175,0.01,26389,29040,1.08491e+11,huber,8.92179,1.37132e+11,32
9,gamg,7.91966e-07,2.05141e-06,0.000655779,18,8.81513,0.01,26389,29040,1.18585e+11,huber,9.93466,1.50806e+11,32
10,gamg,7.81147e-07,1.99148e-06,0.000943534,15,9.71768,0.01,26389,29040,1.27862e+11,huber,10.9265,1.63664e+11,32
