problem,solver,cost,gradient_norm_l2,damping,iters,cumulative_inner_solve_time,eta,cameras,points,cumulative_inner_solve_flops,loss,cumulative_solve_time,cumulative_solve_flops
0,pbjacobi,0.00429328,32.7385,0.0001,0,0,0.01,26389,29040,0,none,0,0
1,pbjacobi,1.07936e-05,0.125046,3.33333e-05,61,0.315434,0.01,26389,29040,3.20545e+09,none,1.58589,6.87614e+09
2,pbjacobi,2.46468e-06,0.0350445,4.18676e-05,297,1.69522,0.01,26389,29040,1.8793e+10,none,3.29154,2.61344e+10
3,pbjacobi,1.48115e-06,0.010461,6.10911e-05,293,3.06483,0.01,26389,29040,3.41707e+10,none,4.98561,4.51828e+10
4,pbjacobi,1.1649e-06,0.00341598,8.87923e-05,254,4.24992,0.01,26389,29040,4.75022e+10,none,6.49382,6.2185e+10
5,pbjacobi,1.01757e-06,0.00138248,0.00012753,210,5.23541,0.01,26389,29040,5.85252e+10,none,7.80324,7.68786e+10
6,pbjacobi,9.36319e-07,0.000808133,0.000182014,179,6.08598,0.01,26389,29040,6.79217e+10,none,8.97694,8.99458e+10
7,pbjacobi,8.87287e-07,0.000641561,0.00025664,148,6.78961,0.01,26389,29040,7.56917e+10,none,10.0039,1.01387e+11
8,pbjacobi,8.55796e-07,0.000605379,0.000356744,127,7.39749,0.01,26389,29040,8.236e+10,none,10.9354,1.11726e+11
9,pbjacobi,8.34639e-07,0.000572237,0.000496028,107,7.9153,0.01,26389,29040,8.79789e+10,none,11.7769,1.21015e+11
10,pbjacobi,8.20132e-07,0.000562194,0.000683602,91,8.36049,0.01,26389,29040,9.27583e+10,none,12.5454,1.29465e+11
